chord,start,end
G:maj,0.650158726,2.972154176
G:min,3.018594085,3.947392265
G:min,3.993832174,4.551111082
G:maj,4.597550991,6.269387715000001
A:min,6.315827624000001,6.9195464410000005
G:maj,6.9659863500000005,12.956734611
G:maj,13.00317452,13.699773155
G:maj,13.746213064,15.78956906
A:min,15.836008969,16.021768605000002
A:min,16.161088332000002,16.486167695
G:maj,16.625487422,17.229206239
G:min,17.275646148,19.736961325
G:maj,19.783401234,20.526439778
D:maj,20.572879687,21.455237958
G:maj,21.501677867,21.919637048000002
G:min,21.966076957000002,24.659591679000002
A:min,24.706031588000002,25.727709586
G:maj,25.774149495,26.331428403
D:maj,28.003265127000002,29.72154176
G:maj,29.767981669,33.90113357
A:maj,33.947573479,34.226212933
B:min,34.272652842,36.68752811
E:min,36.733968019,38.452244652000005
G:maj,38.498684561000005,39.102403378
A:min,39.148843287,42.817596098
A:min,42.910475916,43.699954369000004
D:maj,43.746394278000004,43.978593823000004
D:maj,44.628752549,48.808344359
G:maj,48.854784268,52.94149626
A:maj,52.987936169,53.638094895
B:min,53.684534804,55.727890800000004
E:min,55.867210527000005,56.65668898
A:min,60.418321609,60.789840881
G:maj,60.83628079,62.183038151000005
B:maj,62.275917969000005,62.879636786
C:maj,63.111836331,65.48027169
D:maj,65.526711599,67.988026776
G:maj,68.034466685,68.498865775
C:maj,68.545305684,69.288344228
G:maj,69.334784137,72.678457585
B:min,72.724897494,74.861133308
E:min,74.907573217,76.99736912200001
G:maj,77.04380903100001,77.461768212
A:min,77.508208121,79.969523298
B:min,80.062403116,80.526802206
C:maj,82.291518748,82.941677474
C:min,82.988117383,83.12743711
C:maj,83.173877019,85.031473379
D:maj,85.077913288,87.16770919300001
G:maj,87.21414910200001,87.63210828300001
C:maj,87.67854819200001,88.37514682700001
G:maj,88.42158673600001,91.858140002
B:maj,91.904579911,93.065577636
B:maj,93.529976726,93.947935907
E:min,93.994375816,95.619772631
D:maj,95.66621254,95.851972176
E:min,95.898412085,96.548570811
A:min,96.59501072,99.05632589700001
B:min,99.10276580600001,99.56716489600001
G:maj,99.61360480500001,101.424761256
C:min,101.471201165,102.1677998
C:maj,102.214239709,103.746756706
D:maj,103.793196615,104.304035614
D:maj,104.443355341,108.715826969
G:maj,108.762266878,110.52698342000001
G:min,110.57342332900001,113.127618324
G:maj,113.174058233,114.427935776
A:min,114.474375685,114.660135321
D:maj,114.70657523,114.892334866
G:maj,114.938774775,115.403173865
G:min,115.449613774,117.95736886
G:maj,118.003808769,120.232924401
G:min,120.27936431,122.09052076100001
G:maj,122.13696067000001,122.97287903200001
A:min,123.01931894100001,123.94811712100001
G:maj,123.99455703000001,125.016235028
D:maj,125.898593299,126.130792844
D:maj,127.24535066,127.849069477
G:maj,127.895509386,132.075101196
A:maj,132.121541105,132.585940195
B:min,132.632380104,134.768615918
E:min,134.815055827,136.719092096
G:maj,136.765532005,137.46213064
A:min,137.508570549,142.24544126700002
D:maj,143.731518355,146.610792713
E:min,146.657232622,147.075191803
G:maj,147.121631712,151.347663431
A:maj,151.39410334000002,151.85850243000002
B:min,151.904942339,154.041178153
E:min,154.08761806200002,156.084534149
E:min,156.130974058,156.270293785
G:maj,156.316733694,156.548933239
A:min,156.595373148,158.035010327
A:maj,158.081450236,158.963808507
B:min,159.010248416,161.285803957
C:maj,161.332243866,163.747119134
D:maj,163.79355904300002,166.25487422
G:maj,166.347754038,167.044352673
C:maj,167.090792582,167.322992127
C:maj,167.369432036,167.601631581
G:maj,167.64807149,170.991744938
B:min,171.038184847,173.081540843
E:min,173.127980752,174.52117802200002
D:maj,174.567617931,175.124896839
E:min,175.17133674800002,175.72861565600002
A:min,175.775055565,176.982493199
A:min,177.168252835,177.818411561
B:min,177.911291379,179.025849195
G:maj,179.211608831,180.604806101
C:min,180.65124601,181.1156451
C:maj,181.162085009,181.765803826
C:maj,181.951563462,183.112561187
D:maj,183.90203964,185.52743645500001
G:maj,185.573876364,190.124987446
B:maj,190.17142735500002,191.100225535
B:min,191.750384261,192.075463624
B:min,192.121903533,192.26122326
E:min,192.307663169,193.422220985
D:maj,193.468660894,194.351019165
A:min,194.954737982,196.208615525
A:maj,196.347935252,197.09097379600001
A:min,197.137413705,197.55537288600001
B:min,197.601812795,198.066211885
G:maj,198.11265179400002,199.273649519
G:maj,199.32008942800002,199.69160870000002
C:maj,199.738048609,202.199363786
D:maj,203.639000965,206.982674413
G:maj,207.029114322,207.632833139
C:maj,207.679273048,208.190112047
G:maj,208.236551956,211.62666531300002
B:min,211.673105222,213.902220854
E:min,213.94866076300002,214.877458943
D:maj,214.923898852,215.620497487
E:min,215.666937396,215.94557685
G:maj,215.992016759,216.40997594
A:min,216.456415849,217.756733301
A:min,217.942492937,218.2675723
G:maj,218.871291117,219.242810389
G:maj,219.289250298,220.86820720400002
C:maj,221.23972647600002,221.379046203
C:min,221.42548611200002,222.214964565
C:maj,222.26140447400002,222.44716411000002
C:min,222.493604019,222.679363655
C:maj,222.72580356400002,223.701041653
D:maj,223.74748156200002,226.394556375
G:maj,226.440996284,227.509114191
G:maj,227.5555541,230.852787639
B:maj,230.945667457,232.06022527300001
B:min,232.24598490900001,232.942583544
E:min,232.98902345300002,234.38222072300002
D:maj,234.428660632,235.171699176
G:maj,235.21813908500002,235.636098266
A:min,235.68253817500002,237.400814808
A:maj,237.586574444,237.818773989
B:min,237.865213898,239.026211623
B:min,239.258411168,240.001449712
G:maj,240.047889621,240.465848802
C:maj,240.512288711,241.859046072
C:maj,241.905485981,243.763082341
C:maj,243.855962159,244.18104152200002
D:maj,244.227481431,245.063399793
D:maj,247.571154879,247.71047460600002
G:maj,247.756914515,249.707390693
G:min,249.753830602,250.7755086
G:maj,250.821948509,252.122265961
G:maj,252.308025597,254.908660501
G:min,254.95510041,255.4194995
G:maj,255.46593940900001,255.605259136
G:min,255.65169904500002,256.71981695200003
G:maj,256.766256861,259.32045185600003
G:min,259.366891765,260.202810127
G:min,260.24925003600003,261.085168398
G:maj,261.131608307,261.874646851
A:min,261.92108676,262.989204667
G:maj,263.035644576,263.639363393
D:maj,267.26167629500003,267.772515294
G:maj,267.81895520300003,278.73233381800003
